(3725, 216.296454503473)
(3729, 216.194015899873)
(2794, 193.541075645614)
(395, 192.466386276634)
(1116, 192.466386276634)
(1211, 169.439518371056)
(2060, 162.963411716342)
(4136, 143.777163128318)
(3334, 134.85104674687)
(1546, 133.546567404918)
(1761, 130.204803528595)
(623, 128.529017359356)
(76, 127.491028184201)
(2634, 125.813821056601)
(2033, 125.812063676965)
(3364, 120.66651967573)
(4515, 119.259445228647)
(3250, 105.361798465518)
(647, 104.904816698736)
(396, 93.50201968549)
(2713, 92.5739646131603)
(1347, 91.2602304641717)
(906, 91.228093946681)
(2850, 90.7336352130142)
(3681, 90.5365186919704)
(3707, 90.5365186919704)
(3238, 88.5698125291159)
(2045, 87.4686943261344)
(304, 79.1686676470049)
(383, 68.5959068651101)
(222, 65.837806221489)
(2785, 64.044238991205)
(1171, 62.8753324145805)
(4167, 60.3518982943068)
(2208, 54.4718649136054)
(1027, 53.1216021395432)
(1536, 52.2199038861397)
(4458, 49.4483358677284)
(3678, 49.2987907063588)
(3554, 47.3759134451487)
(1396, 44.8044218623189)
(4579, 44.5485417566933)
(4308, 42.3459322407733)
(2734, 41.7574081394978)
(913, 41.0559134989177)
(2170, 40.8905468598043)
(2276, 40.6728041004385)
(2494, 40.2063535612526)
(4028, 38.7860782567524)
(3488, 38.544725618844)
(1861, 36.8913515398222)
(4573, 36.6545795985979)
(2595, 35.338177119735)
(4731, 34.8765615534467)
(2577, 34.1403387313866)
(2528, 33.6335665097336)
(2003, 32.8648948098118)
(3931, 32.3454866826346)
(2679, 32.0913878880351)
(1156, 31.826645540312)
(2685, 31.826645540312)
(1707, 31.5230117449288)
(2521, 30.9984365163977)
(321, 30.5649928412888)
(1307, 29.9411707890485)
(3270, 29.4791535041362)
(4121, 29.4791535041362)
(1666, 29.1561096940842)
(3020, 28.4895237598242)
(3159, 28.4895237598242)
(1507, 28.2924264128416)
(4059, 28.158368530161)
(1599, 28.0706851559254)
(1194, 27.9038535251148)
(2112, 27.8625909224972)
(4595, 27.452851446363)
(809, 27.4224609057925)
(353, 27.1125671447231)
(1104, 26.6183254870205)
(473, 26.5117203228101)
(1746, 26.2163181826315)
(336, 25.7860488793445)
(3493, 25.7860488793445)
(1527, 25.6334883409682)
(2405, 25.3537551508867)
(3302, 24.9673489592907)
(2419, 24.5358559087735)
(2263, 24.4785412250456)
(2299, 24.4785412250456)
(4810, 24.2791303540457)
(665, 23.0274502289475)
(2147, 22.6837994457333)
(987, 22.5619276676071)
(4331, 22.5619276676071)
(2360, 21.8719153107756)
(496, 21.5756887227187)
(865, 21.320792901494)
(316, 20.906721383707)
(2164, 20.6035896064089)
(4752, 20.5899327547866)
(2093, 20.0330053314514)
(4553, 19.2911923807876)
(1415, 19.2493536487448)
(4047, 19.2136437598863)
(3906, 19.1931463903234)
(4061, 18.7636718827518)
(4728, 18.7636718827518)
(1095, 18.6165609850457)
(1708, 18.5341563953909)
(2189, 18.3274766422124)
(3866, 18.2787240122968)
(4160, 18.1772888842796)
(926, 17.7863121586025)
(4456, 17.7594039751868)
(173, 17.6355591675099)
(2803, 17.6355591675099)
(2561, 17.5031010613178)
(79, 17.5001991220287)
(3312, 17.3175007622569)
(3953, 17.2912715019615)
(4200, 16.9735470834796)
(495, 16.6517315639191)
(2429, 16.6517315639191)
(4352, 16.6517315639191)
(769, 16.62590470408)
(3151, 16.5427418038751)
(2022, 16.4891755597987)
(3816, 16.4891755597987)
(520, 16.4667475748947)
(3131, 16.4667475748947)
(2043, 16.3863828483534)
(5117, 16.2649371348479)
(1227, 15.9893079549049)
(536, 15.8354117651614)
(2761, 15.6683851672755)
(210, 15.6615898366224)
(139, 15.4338013830404)
(3436, 15.2620652993661)
(1316, 15.1791816338767)
(5034, 15.0212811757905)
(3380, 14.9889083824744)
(1124, 14.8908435558691)
(3050, 14.8621200620108)
(3823, 14.6892326600443)
(4045, 14.6892326600443)
(546, 14.6855196246155)
(549, 14.6855196246155)
(796, 14.4013601758803)
(2593, 14.4013601758803)
(4272, 14.4013601758803)
(4816, 14.3011707999687)
(735, 14.2627120198872)
(2960, 13.7031345833209)
(540, 13.2673287162861)
(1855, 13.2673287162861)
(4431, 13.2421364926975)
(834, 13.1425452879286)
(4199, 12.9530397707869)
(4088, 12.9206963618185)
(2674, 12.8389132261506)
(3412, 12.823632532508)
(1547, 12.7212296911178)
(3539, 12.7212296911178)
(4419, 12.7212296911178)
(2910, 12.7085817115708)
(3172, 12.6629342288051)
(201, 12.6388842200799)
(3619, 12.5225221050396)
(4572, 12.4681845584513)
(1469, 12.4636586691062)
(4400, 12.3379912351108)
(4516, 12.3379912351108)
(4648, 12.3379912351108)
(1930, 12.275453534456)
(2526, 12.216680040887)
(138, 12.1893941465695)
(3704, 12.0876946271005)
(1441, 12.0615775299419)
(2401, 11.9530281264868)
(3258, 11.9530281264868)
(3438, 11.9530281264868)
(2655, 11.8635475818218)
(3650, 11.8635475818218)
(3639, 11.7398045960767)
(4255, 11.7398045960767)
(4934, 11.7398045960767)
(2453, 11.3274149013377)
(710, 11.3070627621395)
(1753, 11.3070627621395)
(1913, 11.3070627621395)
(2668, 11.3070627621395)
(3460, 11.3070627621395)
(4457, 11.3070627621395)
(1250, 11.3045154702486)
(2518, 11.3045154702486)
(3362, 11.2907797090661)
(2568, 11.2114463099536)
(73, 11.2057049554844)
(3423, 11.1489904218802)
(317, 10.9878013578195)
(1613, 10.9878013578195)
(239, 10.7588589466122)
(4540, 10.7588589466122)
(1081, 10.6239150158141)
(4783, 10.6239150158141)
(599, 10.5918707540476)
(2606, 10.4532253861262)
(1363, 10.4352324297713)
(2900, 10.3551568001258)
(738, 10.276637795138)
(1516, 10.276637795138)
(3382, 10.276637795138)
(3009, 10.0758706487969)
(2439, 10.0668395936947)
(4511, 10.0254359364775)
(23, 9.7783923914819)
(2823, 9.7783923914819)
(4846, 9.7783923914819)
(3716, 9.66227929202544)
(3944, 9.66227929202544)
(3980, 9.61495280073712)
(4657, 9.54247214045627)
(517, 9.53792101896276)
(1319, 9.50297778898534)
(2029, 9.33847685024787)
(2546, 9.33847685024787)
(3155, 9.33847685024787)
(4645, 9.32680665926751)
(1398, 9.24671596532745)
(1699, 9.24671596532745)
(3623, 9.24671596532745)
(4131, 9.24671596532745)
(4189, 9.24671596532745)
(4950, 9.24671596532745)
(349, 9.06648104590596)
(852, 9.06648104590596)
(2108, 9.06648104590596)
(2559, 9.06648104590596)
(198, 8.79840457978675)
(328, 8.79840457978675)
(2312, 8.79840457978675)
(2442, 8.79840457978675)
(3048, 8.79840457978675)
(4461, 8.79840457978675)
(4535, 8.79840457978675)
(3195, 8.6853701289457)
(999, 8.62394134643525)
(892, 8.61015791421338)
(1611, 8.5938922208801)
(801, 8.37419500682434)
(1907, 8.37419500682434)
(4921, 8.37419500682434)
(509, 8.33806197094119)
(384, 8.21729690428905)
(973, 8.21729690428905)
(1334, 8.21729690428905)
(4488, 8.21729690428905)
(4665, 8.21729690428905)
(3561, 8.11166904835169)
(4017, 8.11166904835169)
(4770, 8.0187563543989)
(4928, 7.94186293283457)
